Country Name En,Unit Name,2023,2023 Flag,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag
Libya,Tonnes - live weight,32130,E,32585,E,31951.333,E,31803.545,E,32335,E,32144.06,E,31873.99,E,29919.389,E,25730,E,24633,E,35504,E,34654,N,30004,N,50006,N
Liechtenstein,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Lithuania,Tonnes - live weight,102405.414,A,106936.012,A,96152.482,A,90991.355,A,102219.9,A,75019.24,N,89770,N,106945,A,85144,A,150067,N,90871,N,66970,N,138557,N,149851,N
Luxembourg,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Madagascar,Tonnes - live weight,139962.443,E,127549.669,A,114336.819,E,112552.399,E,114181.829,E,129588.227,E,161605.943,E,142332.73,N,114750.978,N,95820.835,E,104597.033,E,118075.271,E,127070,E,129638,E
Malawi,Tonnes - live weight,212817.863,A,186865.36,A,170560,A,171115.22,A,154922,A,221849,A,199455,A,152852,A,141643,A,116129,A,112248,A,125392,A,82415,A,98298,A
Malaysia,Tonnes - live weight,1286666.18,E,1322438.549,E,1338230.636,E,1391044.797,E,1465095.105,N,1463031.382,E,1474370.014,E,1584371.001,E,1496053.999,E,1468725.999,E,1492620,E,1481361.215,E,1382880.85,E,1437456,E
Maldives,Tonnes - live weight,160683.193,E,155205.444,E,144993.211,E,148565.277,E,135062.855,N,150992.587,N,142349.267,N,129420.999,N,127310.204,N,128652.466,N,130247.285,N,120000,N,120835,N,122804,N
Mali,Tonnes - live weight,111130,E,110365.91,A,105400,E,117690,A,109361.999,A,90386,E,106221,A,102486,E,92480,A,80000,A,99353,E,71229,E,108134,E,100000,E
Malta,Tonnes - live weight,2013.59,A,2809.271,N,2502.896,N,2103.246,N,2491.89,N,2731.857,N,2163.63,N,3562.277,N,2563.392,N,2405.314,N,2355.776,N,2200.13,N,1920,N,1836,N
Marshall Islands,Tonnes - live weight,73935.7,N,91636.299,N,95819.063,N,88189.912,N,101556.164,N,78352.102,N,70297,N,65214,N,89718,N,78727,N,80634,N,77090,N,93318.45,N,59800.532,N
Martinique,Tonnes - live weight,1216,A,1569,A,1217,A,1682,A,936,A,1154,A,715,A,867,A,879.103,A,1131.185,A,780.571,N,764.888,N,1344.719,N,837.868,N
Mauritania,Tonnes - live weight,795575,E,780382.798,E,762868.26,E,678425,E,720849.51,E,967706.752,E,794580,N,609754,N,403776,N,378339,N,387833,N,437709,N,372011,N,276238,N
Mauritius,Tonnes - live weight,35484.71,E,33660.613,E,30039.364,E,26001.058,E,34076.283,E,29341.479,E,24986.844,E,18215.365,E,15798.582,E,14658.217,N,7915.916,A,6352,A,7306,A,7366,A
Mayotte,Tonnes - live weight,905,A,1123,A,1259.012,A,1004.059,A,926.017,A,953.861,A,885.978,A,704.78,A,501.772,E,1962.001,E,27929,E,31033.999,E,28602,N,20330,N
Mexico,Tonnes - live weight,1845514.153,A,1683319.803,A,1672243.238,A,1591522.883,A,1570731.077,A,1699020.203,A,1637230.509,A,1524226.283,N,1479427.952,A,1529006.569,A,1626243.147,N,1580971.203,A,1571608.628,N,1528052,N
Micronesia (Federated States of),Tonnes - live weight,162661.78,E,178235.339,E,166115.085,E,193669.433,E,181569.126,E,137891.77,E,101262,E,88688,E,71567,E,52496,E,40513.5,E,48420.619,N,38142.071,E,31526,N
Monaco,Tonnes - live weight,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E
Mongolia,Tonnes - live weight,0,A,0,A,0,A,25,A,30,A,25,A,22,A,15,A,63,A,49,A,55,E,61,A,80,A,100,A
Montenegro,Tonnes - live weight,815.8,E,809,E,808,E,816.453,E,1276,N,1292.8,N,1079.7,N,1595,A,1486.8,A,1556.4,A,1580.5,A,1390.6,A,1517.6,A,1345.4,A
Montserrat,Tonnes - live weight,30,N,30,N,30,N,25,N,30,N,30,N,26,N,31,N,34,N,41,N,44,N,41,N,33,N,24,N
Morocco,Tonnes - live weight,1435360.642,E,1573512.839,E,1419602.252,E,1397531.715,E,1475912.947,E,1386597.819,N,1402289.663,N,1472314.416,N,1384017.611,E,1375098.053,N,1275508.7,N,1177472.384,N,974039.986,N,1143652.113,N
Mozambique,Tonnes - live weight,413539.96,E,443945.275,E,409559.2,E,388637.42,E,401220.357,A,349464.729,E,329586.621,A,299752.24,A,286751.985,A,253103.534,N,222101,A,210695.711,A,195280.294,A,162555,A
Myanmar,Tonnes - live weight,1623150,E,1714230,E,1542150,E,1770240,E,1977749.999,E,1950620,E,2036870,E,2155439.999,E,2072390,E,1970550.001,E,1919000,E,1962230,E,1975920,E,1961150,E
Namibia,Tonnes - live weight,373135.316,E,376109.529,E,317853.283,E,329670.368,E,470704.644,E,490194.215,E,501421.737,N,515656.9,N,509857.9,N,443882.045,N,485502.6,E,469395.925,N,413927.992,N,381929,N
Nauru,Tonnes - live weight,103233,E,106750,E,120409,E,92388,E,33525,E,9155,E,270,E,270,E,270,E,270,A,263,A,228,A,255,N,589,N
Nepal,Tonnes - live weight,21000,A,21000,A,21000,A,21000,A,21000,A,21000,A,21000,A,21500,A,21500,A,21500,A,21500,A,21500,A,21500,A,21500,A
Netherlands Antilles [former],Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,0,A,19575,N
Netherlands (Kingdom of the),Tonnes - live weight,267561.65,N,299695.694,N,296483.115,E,309549.31,A,320360.058,E,413286.228,A,499136.55,E,370249,N,384475,N,371367,N,327436.998,E,347264,N,370089.069,N,434419,N
New Caledonia,Tonnes - live weight,2763.655,A,3709.381,E,3304.953,E,3326.596,E,3737.236,N,3128.771,N,3694,N,3885,N,4654,N,4245,N,3907,N,3882.549,N,3993.482,N,4027,N
New Zealand,Tonnes - live weight,327003.148,E,346525.083,A,343507.03,A,364964.003,A,412627.899,N,408010.808,A,431143.233,A,424940.944,N,433812.331,N,442371.726,N,444067.296,N,441930.231,N,430338.006,N,436593.362,N
Nicaragua,Tonnes - live weight,56548,E,53732.32,E,55274.53,E,43466.54,E,51310,E,54554,E,50982,N,45023,N,41534,N,54364,N,40979,A,33784,N,33527,E,40978,A
Niger,Tonnes - live weight,49371.56,A,47670,E,47200,A,46000.001,A,40058,A,31042,A,25195,A,34592,A,27000,A,47000,A,45000,A,46500,A,53173,A,40000,E
Nigeria,Tonnes - live weight,799635,E,784124,A,805210,A,783101.704,A,825013.256,A,878155,A,916283.97,E,734731,A,710331,A,759828,A,721355,A,668754,A,635486,A,616981,A
Niue,Tonnes - live weight,39,N,37,N,38,N,34,N,38,N,38,N,38,N,38,N,38,N,38,N,38,N,7,N,6,N,113,N
Norfolk Island,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Northern Mariana Islands,Tonnes - live weight,72.307,A,162.419,N,199.688,N,98.936,N,101.902,N,123.16,N,128.708,N,142.902,N,105.297,N,146.136,N,158.199,N,106.548,N,98.474,N,129.659,N
North Macedonia,Tonnes - live weight,435,E,447,A,514,A,472.875,A,399.5,A,140,A,87,N,122,N,350,A,282,A,334,A,249,A,268,A,236,A
Norway,Tonnes - live weight,2543993.182,A,2613634.399,A,2579735.581,A,2625367.743,A,2478585.82,A,2665069.388,A,2558757.615,A,2201292.743,A,2452205.107,A,2450364.117,A,2241396.576,A,2282646.449,A,2442576.505,A,2838470.049,A
Oman,Tonnes - live weight,677365,N,748357.443,N,922083.336,N,793418.923,N,579186,N,554558,N,347539,N,279588,N,257022,N,211037,N,206169,N,191563,N,158566,N,163927,N
Other NEI,Tonnes - live weight,46165.791,A,43071.1,A,36531.329,A,51302.931,A,50575.258,A,76181.69,A,60243.285,A,26570.984,A,56788.64,A,11652.122,A,27523.312,A,16526.041,A,24326,A,18916,A
Pakistan,Tonnes - live weight,509998,E,500045.256,E,496058.999,E,492783.001,E,488503,E,504810,E,536925.999,E,516356.001,N,509479,N,480123.001,N,484646.001,N,479973.998,N,457738.999,N,455514,A
Palau,Tonnes - live weight,803.31,N,813.06,N,824,N,776,N,3932.958,N,3883.716,N,3443,N,818,N,848,N,864,N,887,N,905,N,1000.2,N,967,N
Palestine,Tonnes - live weight,3260,E,4195,E,4660.7,N,4661.9,N,3943,N,3201,N,3208,N,3306,N,3227,N,2854,N,1930,N,2091,N,1318,N,1699,N
Panama,Tonnes - live weight,219485.56,A,188639.947,A,222715.793,E,218459.552,A,260275.487,N,197546.101,N,177139.737,E,179249.552,E,167243.882,E,177111.277,E,210764.351,E,179657.062,N,171022.594,A,182079,N
Papua New Guinea,Tonnes - live weight,220773.95,E,237738.051,E,188675.47,E,217808.47,E,287309.584,E,333574.83,N,328093.47,E,322330.47,E,235013.97,N,257332.588,E,241692.588,E,257621.931,E,199876.327,E,226361.944,E
Paraguay,Tonnes - live weight,17975,E,17905,E,17560,E,16975,E,16940.479,E,17110.538,E,17044.257,E,17000,E,17000,E,17000,E,17000,E,17000,E,17000,E,17800,E
Peru,Tonnes - live weight,3519380.723,A,5368100.711,A,6576171.075,A,5676965.489,A,4852821.378,A,7208637.468,A,4185193,A,3828751,A,4843860,A,3599052,N,5876492,N,4852759,N,8254935,A,4305975,A
Philippines,Tonnes - live weight,1717841.797,A,1771247.273,A,1842066.894,A,1914918.37,A,1830848.66,A,1822063.71,A,1889210.367,A,2027025.5,A,2153987,A,2249129.49,A,2201842.573,A,2206570.319,A,2220780,A,2502872,A
Pitcairn,Tonnes - live weight,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N,3,N
Poland,Tonnes - live weight,171783.383,E,172523.358,N,195384.5,N,200390.296,N,205443,N,216704,N,220396,N,212115,E,199428,N,185598,N,208170,N,192385,N,192308,N,189722,N
Portugal,Tonnes - live weight,163560.084,E,159890.59,E,179528.773,E,159947.959,E,185050.28,N,178270,N,182615,N,186545,N,190100,N,183664,N,196558.352,N,198738,N,216159,N,223546,N
Puerto Rico,Tonnes - live weight,2149,N,2150.347,N,1580,N,1579.709,A,1515.278,N,1640.932,N,1555.625,N,1851.476,N,1825.858,N,1810.356,N,1912.389,N,1881.774,N,1490.135,N,1180.056,N
Qatar,Tonnes - live weight,18970.4,A,18439,A,16554.5,A,15086.5,A,17130,A,14665.3,A,15358.6,A,14513.7,A,15201.8,A,16213.2,A,12006,A,11275,A,12985,N,13760,N
Republic of Korea,Tonnes - live weight,1316939.878,E,1260018.678,E,1360075.324,E,1375688.053,E,1424966.113,E,1402763.309,E,1359547.776,A,1371347.566,E,1658001.527,N,1752865.447,A,1605307.212,N,1673719.624,N,1757193.6,N,1735000.004,N
Republic of Moldova,Tonnes - live weight,0,E,0,E,0,A,50,N,50,N,50,N,50,N,50,N,50,N,50,N,50,N,50,N,50,N,44,N
Réunion,Tonnes - live weight,3152.001,E,2659,E,2791,N,2640.965,N,2439.142,N,2608.771,N,2416.741,N,3337.623,N,2850.171,N,2735.067,N,2745.937,N,2591.734,N,3047.018,N,2733.369,N
Romania,Tonnes - live weight,6613.72,E,6256.436,A,6350.6,A,7972.88,E,10927.4,A,11179,N,14998,N,12728,A,9307,A,6248,N,5218,E,3960,E,3254,A,2688,N
Russian Federation,Tonnes - live weight,5393293,A,4991530,A,5167703,A,5081017.071,A,4983420.183,A,5119477.147,A,4873829.61,A,4773470.911,A,4464132.286,A,4266059.671,A,4366230.916,N,4337952.771,N,4261516,N,4075796,A
Rwanda,Tonnes - live weight,31600,E,32735,E,32094,A,29979,A,20910.2,A,23977,A,25000,A,25013,A,29334,A,25159,A,22390,A,18980,A,16994,A,13000,A
Saint Barthélemy,Tonnes - live weight,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E
Saint Kitts and Nevis,Tonnes - live weight,675,E,670,E,672.513,A,646.54,A,652,A,1044.37,N,84958.17,N,65768.93,N,100398.52,N,66142,N,17717,N,21887,N,31071,N,21754,N
Saint Lucia,Tonnes - live weight,1852.597,A,1853.988,A,1574.691,A,1423.829,A,1845.104,N,2019.92,N,2091.508,N,2117.647,N,2030.478,N,1981.44,N,1991.637,N,1943.517,N,1811,N,1964,N
Saint Martin (French part),Tonnes - live weight,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E,90,E
Saint Pierre and Miquelon,Tonnes - live weight,2005,A,2612.2,A,2488.35,A,2692.83,A,3330,A,3236,A,3162,N,3027,N,3498.345,N,2545.451,N,3036.878,N,3740,N,3172,N,4887,N
Saint Vincent and the Grenadines,Tonnes - live weight,1310.694,A,1250,E,1586.279,A,2127.542,A,1968.776,E,2327.883,N,32937.784,N,22833.714,N,26132.998,N,81332.541,N,39499.904,N,10155.263,N,76576,N,66367,N
Samoa,Tonnes - live weight,10360.55,E,9589.25,E,9153.213,E,9953.042,E,11172.014,E,9741.612,E,10853,E,8808,E,8700.333,E,7527,E,11253,E,11960.888,E,11452,E,12840,E
San Marino,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Sao Tome and Principe,Tonnes - live weight,5647.747,E,5703.38,N,5117.247,N,5679.458,N,5432.787,A,6006.555,N,9514.8,N,11719.7,N,11440.8,N,10001.397,N,8699.2,N,7400.1,N,6185.052,N,4837,N
Saudi Arabia,Tonnes - live weight,69055,E,64263.015,N,63361.999,N,64678.995,N,66206,N,67944,N,66349.002,N,66537.997,N,68130,N,68660,N,71946,N,65170,N,64481,N,65145,N
Senegal,Tonnes - live weight,521653.284,E,505896.212,E,513957.078,E,458363.426,E,516141.255,E,484654.67,E,534939.6,E,474172.324,N,425442.12,N,458530.425,E,469595.59,N,461077.16,E,427134.56,N,409715,N
Serbia,Tonnes - live weight,2470,N,2379,N,2353,N,1932,N,2547,N,2082,N,2209,N,2067,N,3150,N,3593,N,5040,N,4798,N,5384,N,4807,N
Seychelles,Tonnes - live weight,139172.85,E,137842.167,E,146290.807,E,142376.448,N,145044.275,N,149301.113,N,145660.513,N,130400.451,N,105969.666,N,75503.616,N,73909.641,N,68687,N,75480.999,N,87111,N
Sierra Leone,Tonnes - live weight,206900,E,215140,E,204900,E,200630,E,202100,E,202100,E,202100,E,202100,E,202100,E,206477,E,205000,E,203500,E,202000,E,200000,E
Singapore,Tonnes - live weight,174,A,207.405,A,306.32,A,355.59,A,1417.707,N,1309.741,A,1110,N,1234,N,1265,N,1433,N,1645,N,1969,N,1618,N,1732,N
Sint Maarten (Dutch part),Tonnes - live weight,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,253,E,,
Slovakia,Tonnes - live weight,1655.55,A,1895,E,1815,E,1736,E,1853,E,1937,E,1870,A,1866,A,1971,A,1944,N,1986,N,1945,N,1935,N,1608,N
Slovenia,Tonnes - live weight,261.532,N,286.268,N,268.81,A,312.03,A,281.443,N,263.745,N,280.07,N,310.519,N,343.392,N,410.5,N,400.216,N,485.188,N,890.609,N,941,N
Solomon Islands,Tonnes - live weight,40061.154,E,47895.082,E,49812.027,N,40877.666,N,68273.89,N,62610.118,N,49963,N,65542.356,N,67980.988,N,70717.31,N,36708.884,N,38892.074,N,38720.16,N,37544.657,N
Somalia,Tonnes - live weight,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E,30000,E
South Africa,Tonnes - live weight,427391.982,E,468726.243,E,494653.095,E,603684.248,E,449192.421,E,569810.237,N,526497.122,E,621777.044,E,572188.8,N,608030.904,N,431015.107,E,719326.818,N,544964,N,640656,N
South Sudan,Tonnes - live weight,47000,E,46000,E,43000,E,43000,E,45000,E,44000,E,42000,E,40000,E,37000,E,37000,E,37000,E,37000,E,,,,
Spain,Tonnes - live weight,766684.607,E,809079.94,A,803120.914,A,798280.421,A,882909.497,A,930720.892,N,948066.068,N,911501.801,N,972366.292,N,1059920.786,N,985028.893,N,926228.753,N,1006430.305,N,970774.046,N
Sri Lanka,Tonnes - live weight,338161.202,E,332337.722,E,372145.552,E,382265.799,E,471439.211,E,478950.94,E,469393.442,E,484560.38,E,467464.25,E,493496.701,E,461229.6,E,450850.616,E,421764.702,E,390187,A
Sudan,Tonnes - live weight,40960,E,44250,E,40970,E,37660,E,40770,E,41041,A,38390,A,35502,N,33008,N,33508,E,33708,E,34008,E,,,,
Sudan [former],Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,71008,E,71358,E
Suriname,Tonnes - live weight,31870,E,33695,E,32130,E,29772,E,31388,E,39299,E,48584,E,43063,A,39463,E,33459,E,35516,A,35930,E,35490,E,35085,A
Svalbard and Jan Mayen Islands,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Sweden,Tonnes - live weight,154654.134,A,152028.063,A,167366.288,A,179642.86,A,184337,N,221662,N,228726,N,205465,N,211963,N,181574,N,188951,N,151609,N,181321,N,212035,N
Switzerland,Tonnes - live weight,1446,E,1485.92,A,1485.92,A,1485.92,A,1382.313,A,1553,A,1932,A,1851,A,2023,A,1983,A,2007,N,2003,N,2098,N,2101,N
Syrian Arab Republic,Tonnes - live weight,4450,E,4430,E,4310,E,3845,E,4080,E,4074,E,4065,E,4179,E,3822,E,4099,N,4800,N,5300,N,5900,N,6637,A
Taiwan Province of China,Tonnes - live weight,632492.452,A,614414.886,A,691207.635,E,605468.775,E,734319.592,E,793431.499,E,737472.132,N,740718.744,N,980265.961,N,1058057.661,N,915252.088,N,907413.244,E,906150.209,E,853109.929,A
Tajikistan,Tonnes - live weight,2600.002,E,2507.001,E,2350.215,E,1809.86,E,1716.33,E,1195.999,E,1105,E,1100.001,E,1176.001,E,1174,E,1179,E,714.001,E,843,A,690,E
Thailand,Tonnes - live weight,1466165.62,A,1385491.33,E,1414583.6,E,1588859.33,E,1527182.38,E,1536755.76,E,1493058.35,E,1532191.854,E,1502153.063,E,1676566.771,E,1831808.496,E,1727647.07,E,1835125.149,A,1810620,A
Timor-Leste,Tonnes - live weight,7967.31,A,6698.99,A,6630.32,N,6806.03,A,6914.69,A,6059.31,A,5379,N,4579,N,4179,N,3879,N,3579,N,3199,N,3199,N,3199,N
Togo,Tonnes - live weight,22236.934,E,21505.22,A,17984,A,18034,A,25526,A,24620,A,26915,A,31891,A,21497,A,19849,A,20015,A,19320,A,24122,N,27535,N
Tokelau,Tonnes - live weight,69,E,38,N,70,N,70,N,86,N,74,N,86,N,198,N,198,N,105,N,196,N,248,N,64,N,54,N
Tonga,Tonnes - live weight,1144.14,E,1326.038,N,1115.219,N,1097.123,N,1212.605,N,1244.392,N,1401,N,1605,N,1803.03,N,1921.03,N,1896,N,2323.154,N,2130.349,N,2076,N
Trinidad and Tobago,Tonnes - live weight,13111.316,E,13069.012,E,13084.17,N,12912.669,N,12941.729,E,13184.339,N,12942.125,N,13115.953,N,12141,N,13290,N,13217,N,11747,N,13114,N,13930,N
Tunisia,Tonnes - live weight,108116,A,112352.858,E,102875.652,E,104576.786,E,114142.953,E,105959.277,A,106303.076,A,105866.073,N,117011,E,114520,E,109758,E,108073,E,102035.6,A,93178.8,A
Türkiye,Tonnes - live weight,453844.6,A,334792.9,A,327924,A,364109.8,A,462713.68,A,313606.928,A,353771.297,A,334838.593,N,431372.397,N,301471.604,N,373310.361,A,431804.641,A,514040.156,A,485145,A
Turkmenistan,Tonnes - live weight,15210,E,15097,E,15042,E,14605,E,15000,E,15000,E,15000,E,15000,E,15000,E,15000,E,15000,E,15000,E,15000,E,15000,E
Turks and Caicos Islands,Tonnes - live weight,2358.7,A,3241,N,2277,N,1297,N,1243,N,2090,N,1324,N,3145,N,2917,N,2361,N,2013,N,1960,N,3327,N,3801,N
Tuvalu,Tonnes - live weight,48979,E,42781,N,31086.506,N,11295,N,8357.278,N,12819.386,N,7475,N,7684,N,6147,N,7379,N,12923,N,17619,N,11850,N,11466,N
Uganda,Tonnes - live weight,716513,A,444935,A,634594.96,A,578684,A,603224,A,439354,A,389629,A,381803,A,396205,A,461196,A,419249,A,407638,A,437415,A,413805,A
Ukraine,Tonnes - live weight,28164.907,A,23186.41,A,63047.578,A,69467.125,A,81730.686,A,76507.061,A,93481.886,A,75858.843,A,120486.142,N,143083.076,N,203668.705,A,154392,A,179984,A,209948,N
United Arab Emirates,Tonnes - live weight,59445,A,65422,A,67944,A,71388,A,72117,A,75615,A,75287,A,73287,A,74056,A,73018,A,73203,A,72728,A,75147,A,70590,N
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,717392.271,E,621748.674,E,635572.977,E,627471.436,E,623079.319,E,699778.585,E,726493.143,N,697228.744,N,706150.329,N,755988.651,N,632342.047,N,631326.516,N,601079.955,N,612629,N
United Republic of Tanzania,Tonnes - live weight,481367.043,E,472892.761,E,477775.425,E,472951.163,E,468437.258,E,377993.742,A,388846.73,A,370620.345,N,374871.456,N,341593.351,E,379843.082,N,379481.641,N,348953.479,N,351391,N
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,38985,A,38650,E,36800,E,38105,A,36728,A,35445,A,35057,A,33893,A,34103,A,32872,A,30712,A,29810,A,28757,A,25690,A
United States of America,Tonnes - live weight,4155919,N,4139026,N,4313107,N,4271680,N,4826413,N,4798635,N,5028622,N,4845685,N,4990989,N,4936689,N,5052018,N,5075701,N,5135024,N,4396885,N
United States Virgin Islands,Tonnes - live weight,420,E,420,E,420.135,A,355.271,A,329.921,A,289.267,A,547.577,A,587.837,A,460.017,A,501.524,A,490.206,A,619.251,A,810.739,A,1081.283,A
Uruguay,Tonnes - live weight,67058.843,A,68781.641,E,66300.607,E,62879.956,E,68005.77,E,69725.333,E,65308.649,E,51551.75,N,59540.099,N,65080.716,A,59195.865,N,76161.745,A,89269.133,N,74153,N
Uzbekistan,Tonnes - live weight,55600,E,55000,E,53000,E,46100.002,E,40000,E,33600,E,31450,E,27267,A,22956,A,17116,A,13670,A,11052,A,8513,A,4078,E
Vanuatu,Tonnes - live weight,69917.575,E,84915.341,E,70070.539,E,63863.505,E,57184.384,E,43374.56,E,34497,N,46641.1,N,83013,N,70707.26,N,70636.574,N,67482.582,N,59315.5,N,101244.5,N
Venezuela (Bolivarian Republic of),Tonnes - live weight,194210.724,E,211939.571,E,223100.003,E,195900.003,E,176299.999,E,182600.001,E,237200.005,E,283635.317,E,240530.673,N,209435.999,E,213755.957,E,213248.664,E,201429.177,A,218853,E
Viet Nam,Tonnes - live weight,3417238.435,E,3456797.93,E,3540250.15,E,3506056.76,E,3440531.31,A,3346179,A,3314293,E,3077941,A,2860638,A,2743462,A,2623588,A,2523673,A,2399528,A,2249711,A
Wallis and Futuna Islands,Tonnes - live weight,138.305,A,204.326,A,264,A,263.8,A,304.239,N,260,N,216,N,182,N,204,N,181,N,237,N,210,N,417,N,801,N
Yemen,Tonnes - live weight,151016.469,A,150470,E,149130,E,143716.513,E,137465.736,E,134867.992,E,136025.992,E,152130.991,E,177407.997,E,214201.982,E,228782.986,E,227114.985,E,154060.993,E,163861,E
Zambia,Tonnes - live weight,101825,E,109428,E,105125,E,106836,A,97463,A,98538,A,101036,A,91975,A,90064,A,87226,A,87787,A,87638,A,69364,A,76396,A
Zimbabwe,Tonnes - live weight,26218,A,26161,A,22734,A,26671.559,A,26569.258,A,29306.96,A,31258.346,A,29356.543,A,24833.55,A,28353.125,A,22500,E,19900,E,17200,E,14550,E