Year,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt
2000,320.54,355.03,675.57
2001,311.37,349.1,660.47
2002,297.81,369.49,667.3
2003,295.46,367.43,662.89
2004,301.9,402.99,704.89
2005,305.33,428.89,734.22
2006,298.99,444.13,743.12
2007,303.83,459.03,762.86
2008,290.3,466.26,756.56
2009,272.37,443.08,715.45
2010,288.14,465.88,754.02
2011,296.04,479.74,775.78
2012,301.89,481.25,783.14
2013,311.24,490.26,801.5
2014,321.69,505.94,827.63
2015,338.84,534.97,873.81
2016,356.18,559.09,915.27
2017,380.57,595.24,975.81
2018,395.41,622.53,1017.94
2019,403.72,632.73,1036.45
2020,279.79,302.56,582.35
2021,321.13,343.88,665.01
2022,347.73,436.72,784.45