Entity,Code,Year,Electric cars sold,Non-electric car sales
World,OWID_WRL,2010,7450,67719820
World,OWID_WRL,2011,49000,72009816
World,OWID_WRL,2012,120000,74880000
World,OWID_WRL,2013,201000,74243440
World,OWID_WRL,2014,330000,80157810
World,OWID_WRL,2015,550000,80332350
World,OWID_WRL,2016,760000,83684450
World,OWID_WRL,2017,1180000,83105710
World,OWID_WRL,2018,2060000,83773330
World,OWID_WRL,2019,2080000,77920000
World,OWID_WRL,2020,2980000,67972380
World,OWID_WRL,2021,6600000,67557304
World,OWID_WRL,2022,10200000,62657144
World,OWID_WRL,2023,13800000,62866668