Eastern Africa,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,8,,,7,,,9,,,8,,,9,,,10,,,9,,,11,,,9,,,14,,,17,,,16,,,19,,,18,,,18,,
Eastern Africa,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,19,,,20,,,18,,,20,,,22,,,22,,,25,,,26,,,29,,,31,,,33,,,37,,,52,,,51,,,50,,
Eastern Africa,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,29,,,29,,,28,,,30,,,32,,,34,,,35,,,37,,,39,,,45,,,50,,,54,,,72,,,69,,,68,,
Middle Africa,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,123,,,134,,,129,,,124,,,129,,,128,,,132,,,124,,,125,,,124,,,113,,,110,,,105,,,100,,,88,,
Middle Africa,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,6,,,2,,,2,,,6,,,7,,,6,,,7,,,6,,,8,,,7,,,8,,,8,,,8,,,14,,
Middle Africa,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,8,,,9,,,9,,,9,,,9,,,11,,,13,,,11,,,13,,,14,,,14,,,17,,,16,,,16,,,19,,
Middle Africa,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,133,,,149,,,140,,,136,,,145,,,147,,,150,,,142,,,144,,,145,,,133,,,135,,,129,,,124,,,122,,
Middle Africa,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,2,,,2,,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,3,,,1,,,1,,,1,,,1,,
Middle Africa,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,6,,,8,,,9,,,6,,,7,,,7,,,9,,
Middle Africa,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,8,,,9,,,10,,,11,,,12,,,14,,,16,,,17,,,17,,,16,,,16,,,21,,,28,,,28,,,33,,
Middle Africa,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,12,,,13,,,14,,,16,,,17,,,19,,,22,,,23,,,25,,,26,,,28,,,28,,,36,,,36,,,43,,
Southern Africa,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Southern Africa,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,6,,,5,,,5,,,2,,,4,,,4,,,3,,,3,,,3,,,4,,,5,,,6,,,5,,,5,,
Southern Africa,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,130,,,136,,,131,,,139,,,151,,,160,,,162,,,163,,,175,,,167,,,174,,,169,,,173,,,173,,,170,,
Southern Africa,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,136,,,143,,,137,,,145,,,153,,,164,,,166,,,167,,,178,,,170,,,177,,,174,,,179,,,178,,,175,,
Southern Africa,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,26,,,23,,,22,,,21,,,22,,,16,,,17,,,22,,,23,,,23,,,20,,,19,,,19,,,19,,,17,,
Southern Africa,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,3,,,2,,,2,,,5,,,4,,,8,,,8,,,9,,,8,,,11,,,11,,,12,,,10,,
Southern Africa,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39,,,43,,,45,,,37,,,27,,,31,,,29,,,27,,,26,,,27,,,21,,,25,,,23,,,24,,,26,,
Southern Africa,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,67,,,69,,,69,,,60,,,51,,,51,,,51,,,57,,,57,,,59,,,49,,,54,,,54,,,54,,,53,,
Western Africa,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,110,,,112,,,104,,,96,,,115,,,108,,,99,,,112,,,105,,,90,,,95,,,99,,,102,,,79,,,76,,
Western Africa,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,10,,,9,,,10,,,9,,,18,,,19,,,19,,,20,,,16,,,18,,,27,,,25,,,27,,,25,,,31,,
Western Africa,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,47,,,54,,,41,,,54,,,57,,,47,,,75,,,73,,,77,,,83,,,83,,,85,,,95,,,94,,,105,,
Western Africa,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,167,,,175,,,156,,,159,,,190,,,175,,,193,,,205,,,198,,,190,,,206,,,209,,,223,,,198,,,213,,
Western Africa,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,8,,,7,,,7,,,7,,,5,,,5,,,6,,,6,,,6,,,4,,,5,,,5,,,4,,,4,,,4,,
Western Africa,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,17,,,13,,,11,,,11,,,16,,,17,,,20,,,16,,,17,,,21,,,28,,,31,,,33,,,32,,,38,,
Western Africa,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,68,,,62,,,66,,,73,,,80,,,89,,,91,,,99,,,101,,,101,,,93,,,96,,,91,,,92,,,107,,
Western Africa,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,93,,,82,,,84,,,91,,,100,,,112,,,117,,,121,,,124,,,126,,,126,,,132,,,128,,,128,,,148,,
Americas,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,277,,,259,,,250,,,256,,,278,,,284,,,274,,,276,,,275,,,294,,,298,,,324,,,418,,,392,,,369,,
Americas,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,182,,,212,,,198,,,200,,,232,,,223,,,206,,,216,,,231,,,223,,,229,,,262,,,212,,,186,,,193,,
Americas,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,1241,,,1330,,,1229,,,1348,,,1466,,,1570,,,1604,,,1632,,,1724,,,1725,,,1773,,,1835,,,1937,,,1911,,,2001,,
Americas,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576,,,1700,,,1801,,,1676,,,1805,,,1976,,,2078,,,2084,,,2124,,,2230,,,2241,,,2300,,,2421,,,2567,,,2489,,,2563,,
Americas,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,,,590,,,556,,,510,,,533,,,484,,,476,,,426,,,378,,,355,,,349,,,314,,,303,,,294,,,237,,,228,,
Americas,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,220,,,209,,,206,,,212,,,188,,,196,,,192,,,202,,,203,,,223,,,216,,,240,,,252,,,223,,,239,,
Americas,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,,,729,,,703,,,540,,,598,,,694,,,753,,,828,,,827,,,851,,,833,,,897,,,971,,,961,,,941,,,1035,,
Americas,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538,,,1539,,,1467,,,1256,,,1342,,,1366,,,1425,,,1445,,,1408,,,1409,,,1406,,,1426,,,1514,,,1506,,,1400,,,1501,,
Northern America,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,25,,,24,,,24,,,25,,,24,,,31,,,34,,,43,,,51,,,61,,,73,,,123,,,196,,,190,,,179,,
Northern America,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,91,,,119,,,124,,,127,,,154,,,137,,,136,,,140,,,147,,,142,,,157,,,174,,,131,,,111,,,122,,
Northern America,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,,517,,,549,,,498,,,523,,,564,,,627,,,650,,,640,,,680,,,683,,,706,,,739,,,834,,,816,,,879,,
Northern America,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,,,633,,,693,,,646,,,676,,,743,,,795,,,820,,,823,,,878,,,887,,,936,,,1036,,,1160,,,1116,,,1180,,
Northern America,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,514,,,481,,,445,,,463,,,413,,,402,,,356,,,313,,,289,,,297,,,266,,,256,,,249,,,198,,,192,,
Northern America,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,156,,,139,,,132,,,135,,,114,,,112,,,102,,,103,,,101,,,95,,,74,,,91,,,108,,,93,,,110,,
Northern America,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,,453,,,414,,,306,,,335,,,369,,,378,,,431,,,420,,,429,,,448,,,478,,,529,,,528,,,519,,,562,,
Northern America,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149,,,1123,,,1034,,,884,,,934,,,895,,,892,,,890,,,836,,,819,,,840,,,818,,,876,,,885,,,811,,,864,,
Latin America and the Caribbean,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,252,,,235,,,226,,,231,,,254,,,253,,,240,,,233,,,223,,,232,,,225,,,201,,,222,,,202,,,190,,
Latin America and the Caribbean,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,91,,,93,,,74,,,73,,,78,,,86,,,70,,,76,,,84,,,81,,,72,,,89,,,81,,,75,,,71,,
Latin America and the Caribbean,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,,,724,,,781,,,730,,,825,,,902,,,943,,,954,,,992,,,1044,,,1041,,,1067,,,1096,,,1103,,,1095,,,1122,,
Latin America and the Caribbean,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,1067,,,1108,,,1030,,,1130,,,1234,,,1283,,,1264,,,1301,,,1352,,,1355,,,1364,,,1385,,,1407,,,1373,,,1383,,
Latin America and the Caribbean,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,76,,,74,,,64,,,69,,,71,,,75,,,69,,,65,,,66,,,52,,,48,,,47,,,45,,,39,,,36,,
Latin America and the Caribbean,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,64,,,70,,,74,,,77,,,74,,,84,,,89,,,100,,,102,,,128,,,141,,,149,,,144,,,129,,,129,,
Latin America and the Caribbean,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,276,,,289,,,234,,,263,,,326,,,374,,,397,,,407,,,422,,,386,,,419,,,442,,,433,,,421,,,472,,
Latin America and the Caribbean,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,416,,,433,,,372,,,409,,,471,,,532,,,555,,,572,,,590,,,566,,,608,,,638,,,621,,,590,,,638,,
Caribbean,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,7,,,8,,,4,,,4,,,4,,,4,,,6,,,2,,,2,,,1,,,2,,,1,,,0,,,1,,,3,,
Caribbean,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,27,,,30,,,20,,,20,,,22,,,27,,,22,,,30,,,32,,,33,,,29,,,31,,,27,,,23,,,18,,
Caribbean,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,21,,,26,,,19,,,21,,,23,,,29,,,23,,,19,,,19,,,18,,,18,,,17,,,19,,,18,,,26,,
Caribbean,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,55,,,64,,,43,,,44,,,48,,,60,,,51,,,51,,,53,,,52,,,49,,,49,,,46,,,42,,,47,,
Caribbean,Crude oil discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,36,,,33,,,31,,,32,,,34,,,35,,,34,,,33,,,34,,,29,,,24,,,19,,,17,,,13,,,12,,
Caribbean,Other tanker trade discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,17,,,18,,,20,,,21,,,16,,,18,,,15,,,14,,,15,,,15,,,24,,,27,,,26,,,28,,,22,,
Caribbean,Dry cargo discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,21,,,28,,,20,,,23,,,28,,,35,,,29,,,33,,,33,,,34,,,33,,,33,,,32,,,31,,,41,,
Caribbean,Total goods discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,74,,,80,,,72,,,76,,,78,,,88,,,78,,,80,,,81,,,79,,,81,,,79,,,75,,,72,,,75,,
Central America,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,94,,,82,,,71,,,75,,,76,,,74,,,61,,,58,,,60,,,66,,,69,,,65,,,70,,,70,,,64,,
Central America,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,11,,,7,,,7,,,10,,,8,,,12,,,8,,,11,,,10,,,10,,,13,,,8,,,8,,,8,,
Central America,Dry cargo loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,55,,,59,,,52,,,66,,,66,,,71,,,97,,,85,,,83,,,69,,,75,,,80,,,83,,,82,,,81,,
Central America,Total goods loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,153,,,151,,,131,,,148,,,152,,,153,,,170,,,151,,,154,,,145,,,155,,,159,,,161,,,160,,,152,,
