Year,paid_hunting_license_holders
2024,15921485
2023,15938891
2022,15386273
2021,15202669
2020,15158443
2019,15544849
2018,15620578
2017,15486123
2016,15413638
2015,14843895
2014,14597091
2013,14631327
2012,14960522
2011,14974534
2010,14448040
2009,14453794
2008,14623598
2007,14575484
2006,14726427
2005,14679041
2004,14966406
2003,14740188
2002,14966417
2001,14996205
2000,15045294
1999,15151068
1998,14889588
1997,14912317
1996,15149261
1995,15238487
1994,15348729
1993,15632179
1992,15751231
1991,15718845
1990,15797290
1989,15960808
1988,15918522
1987,15813585
1986,15773190
1985,15879572
1984,16257678
1983,16372904
1982,16748541
1981,16658868
1980,16257074
1979,16551886
1978,16383329
1977,16202347
1976,16320129
1975,16598505
1974,16420249
1973,15514116
1972,15298243
1971,15977873
1970,15658318
1969,15269480
1968,14947718